PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35024970","Mechanism of the switch from NO to H(2)O(2) in endothelium-dependent vasodilation in diabetes","Juguilon C, Wang Z, Wang Y, Enrick M, Jamaiyar A, Xu Y, Gadd J, Chen CW, Pu A, Kolz C, Ohanyan V, Chen YR, Hardwick J, Zhang Y, Chilian WM, Yin L.","Basic Res Cardiol. 2022 Jan 13;117(1):2. doi: 10.1007/s00395-022-00910-1.","Juguilon C","Basic Res Cardiol","2022","2022/01/13","PMC8886611","NIHMS1777568","10.1007/s00395-022-00910-1"
"26490079","MicroRNA Biomarkers for Coronary Artery Disease?","Kaudewitz D, Zampetaki A, Mayr M.","Curr Atheroscler Rep. 2015 Dec;17(12):70. doi: 10.1007/s11883-015-0548-z.","Kaudewitz D","Curr Atheroscler Rep","2015","2015/10/23","PMC4613887","","10.1007/s11883-015-0548-z"
"31210329","Downregulated miRNA-26a-5p induces the apoptosis of endothelial cells in coronary heart disease by inhibiting PI3K/AKT pathway","Jing R, Zhong QQ, Long TY, Pan W, Qian ZX.","Eur Rev Med Pharmacol Sci. 2019 Jun;23(11):4940-4947. doi: 10.26355/eurrev_201906_18084.","Jing R","Eur Rev Med Pharmacol Sci","2019","2019/06/19","","","10.26355/eurrev_201906_18084"
"36401419","Association between microRNA-146a rs2910164 polymorphism and coronary heart disease: An updated meta-analysis","Bao Q, Li R, Wang C, Wang S, Cheng M, Pu C, Zou L, Liu C.","Medicine (Baltimore). 2022 Nov 18;101(46):e31860. doi: 10.1097/MD.0000000000031860.","Bao Q","Medicine (Baltimore)","2022","2022/11/19","PMC9678560","","10.1097/MD.0000000000031860"
"32461541","Prediction of Coronary Artery Disease by Measurement of Circulating MicroRNA-423-3p Levels","Ono K.","Circ J. 2020 Jun 25;84(7):1062-1063. doi: 10.1253/circj.CJ-20-0478. Epub 2020 May 28.","Ono K","Circ J","2020","2020/05/29","","","10.1253/circj.CJ-20-0478"
"32215566","Non-coding RNA therapeutics for cardiac regeneration","Braga L, Ali H, Secco I, Giacca M.","Cardiovasc Res. 2021 Feb 22;117(3):674-693. doi: 10.1093/cvr/cvaa071.","Braga L","Cardiovasc Res","2021","2020/03/28","PMC7898953","","10.1093/cvr/cvaa071"
"36068979","Does MicroRNA Profile Differ in Early Onset Coronary Artery Disease?","Kahya Eren N, Karaca E, Şirin FB, Levent F, Gündüz C, Özdemir E, Nazlı C, Cogulu O, Ergene AO.","Turk Kardiyol Dern Ars. 2022 Sep;50(6):407-414. doi: 10.5543/tkda.2022.22408.","Kahya Eren N","Turk Kardiyol Dern Ars","2022","2022/09/07","","","10.5543/tkda.2022.22408"
"35163436","Role of miRNA-1 and miRNA-21 in Acute Myocardial Ischemia-Reperfusion Injury and Their Potential as Therapeutic Strategy","Jayawardena E, Medzikovic L, Ruffenach G, Eghbali M.","Int J Mol Sci. 2022 Jan 28;23(3):1512. doi: 10.3390/ijms23031512.","Jayawardena E","Int J Mol Sci","2022","2022/02/15","PMC8836257","","10.3390/ijms23031512"
"36243396","microRNA-181c-5p stimulates the development of coronary artery disease by targeting SIRT1","Ma C, Zheng X, Wu X, Cheng J, Zhang K.","Hellenic J Cardiol. 2023 Jan-Feb;69:31-40. doi: 10.1016/j.hjc.2022.10.001. Epub 2022 Oct 12.","Ma C","Hellenic J Cardiol","2023","2022/10/15","","","10.1016/j.hjc.2022.10.001"
"35011660","Association between Exosomal miRNAs and Coronary Artery Disease by Next-Generation Sequencing","Chang SN, Chen JJ, Wu JH, Chung YT, Chen JW, Chiu CH, Liu CJ, Liu MT, Chang YC, Li C, Lin JW, Hwang JJ, Lien WP.","Cells. 2021 Dec 29;11(1):98. doi: 10.3390/cells11010098.","Chang SN","Cells","2021","2022/01/11","PMC8750494","","10.3390/cells11010098"
"34861059","MicroRNA-34a in coronary heart disease: Correlation with disease risk, blood lipid, stenosis degree, inflammatory cytokines, and cell adhesion molecules","Li H, Chen M, Feng Q, Zhu L, Bai Z, Wang B, Guo Z, Hou A, Li H.","J Clin Lab Anal. 2022 Jan;36(1):e24138. doi: 10.1002/jcla.24138. Epub 2021 Dec 3.","Li H","J Clin Lab Anal","2022","2021/12/03","PMC8761464","","10.1002/jcla.24138"
"32092393","miRNA polymorphisms and risk of premature coronary artery disease","Agiannitopoulos K, Samara P, Papadopoulou M, Efthymiadou A, Papadopoulou E, Tsaousis GN, Mertzanos G, Babalis D, Lamnissou K.","Hellenic J Cardiol. 2021 Jul-Aug;62(4):278-284. doi: 10.1016/j.hjc.2020.01.005. Epub 2020 Feb 21.","Agiannitopoulos K","Hellenic J Cardiol","2021","2020/02/25","","","10.1016/j.hjc.2020.01.005"
"26972566","Dysfunctional high-density lipoproteins in coronary heart disease: implications for diagnostics and therapy","Annema W, von Eckardstein A.","Transl Res. 2016 Jul;173:30-57. doi: 10.1016/j.trsl.2016.02.008. Epub 2016 Feb 24.","Annema W","Transl Res","2016","2016/03/15","","","10.1016/j.trsl.2016.02.008"
"24864093","[MicroRNA--a new diagnostic tool in coronary artery disease and myocardial infarction]","Fic P, Kowalczuk K, Grabarska A, Stepulak A.","Postepy Hig Med Dosw (Online). 2014 Apr 28;68:410-8. doi: 10.5604/17322693.1100348.","Fic P","Postepy Hig Med Dosw (Online)","2014","2014/05/28","","","10.5604/17322693.1100348"
"37053299","A meta-analysis of the relationship between circulating microRNA-155 and coronary artery disease","Ran T, Chen J, Cheng Y, Zhang M, Mao M, Xiang R, Zuo Z, Chang J, Han B, Ma K.","PLoS One. 2023 Apr 13;18(4):e0274277. doi: 10.1371/journal.pone.0274277. eCollection 2023.","Ran T","PLoS One","2023","2023/04/13","PMC10101406","","10.1371/journal.pone.0274277"
"34795729","Circulatory microRNA expression profile for coronary artery calcification in chronic kidney disease patients","Vijayaraghavan B, Jeyamohan S, Padmanabhan G, Velangann AJ, Ramanathan K.","Afr Health Sci. 2021 Jun;21(2):728-734. doi: 10.4314/ahs.v21i2.31.","Vijayaraghavan B","Afr Health Sci","2021","2021/11/19","PMC8568233","","10.4314/ahs.v21i2.31"
"29214180","Circulating MicroRNA Profiles Differ between Hyperglycemia and Euglycemia in Coronary Heart Disease Patients","Jiang Y, Liu N, Xue B, Hou J, Lin C, Ren J, Liu J.","Biomed Res Int. 2017;2017:9192575. doi: 10.1155/2017/9192575. Epub 2017 Oct 30.","Jiang Y","Biomed Res Int","2017","2017/12/08","PMC5682890","","10.1155/2017/9192575"
"34638924","MicroRNAs and Calcium Signaling in Heart Disease","Park JH, Kho C.","Int J Mol Sci. 2021 Sep 30;22(19):10582. doi: 10.3390/ijms221910582.","Park JH","Int J Mol Sci","2021","2021/10/13","PMC8508866","","10.3390/ijms221910582"
"35643946","MicroRNA sequencing in patients with coronary artery disease - considerations for use as biomarker for thrombotic risk","Onuoha CP, Ipe J, Simpson E, Liu Y, Skaar TC, Kreutz RP.","Clin Transl Sci. 2022 Aug;15(8):1946-1958. doi: 10.1111/cts.13307. Epub 2022 May 29.","Onuoha CP","Clin Transl Sci","2022","2022/06/01","PMC9372418","","10.1111/cts.13307"
"29852125","microRNAs and cardiac stem cells in heart development and disease","Li B, Meng X, Zhang L.","Drug Discov Today. 2019 Jan;24(1):233-240. doi: 10.1016/j.drudis.2018.05.032. Epub 2018 May 28.","Li B","Drug Discov Today","2019","2018/06/01","PMC6261710","NIHMS971062","10.1016/j.drudis.2018.05.032"
"34726081","Relationship Between Coronary Atheroma, Epicardial Adipose Tissue Inflammation, and Adipocyte Differentiation Across the Human Myocardial Bridge","McLaughlin T, Schnittger I, Nagy A, Zanley E, Xu Y, Song Y, Nieman K, Tremmel JA, Dey D, Boyd J, Sacks H.","J Am Heart Assoc. 2021 Nov 16;10(22):e021003. doi: 10.1161/JAHA.121.021003. Epub 2021 Nov 2.","McLaughlin T","J Am Heart Assoc","2021","2021/11/02","PMC8751937","","10.1161/JAHA.121.021003"
"36266609","Integrative analyses of immune-related biomarkers and associated mechanisms in coronary heart disease","Zhang L, Li G, Liang B, Su X, Xie H, Sun H, Wu G.","BMC Med Genomics. 2022 Oct 20;15(1):219. doi: 10.1186/s12920-022-01375-w.","Zhang L","BMC Med Genomics","2022","2022/10/20","PMC9585797","","10.1186/s12920-022-01375-w"
"24042051","Coronary heart disease alters intercellular communication by modifying microparticle-mediated microRNA transport","Finn NA, Eapen D, Manocha P, Al Kassem H, Lassegue B, Ghasemzadeh N, Quyyumi A, Searles CD.","FEBS Lett. 2013 Nov 1;587(21):3456-63. doi: 10.1016/j.febslet.2013.08.034. Epub 2013 Sep 13.","Finn NA","FEBS Lett","2013","2013/09/18","PMC3910498","NIHMS524997","10.1016/j.febslet.2013.08.034"
"28035059","Significant association between functional microRNA polymorphisms and coronary heart disease susceptibility: a comprehensive meta-analysis involving 16484 subjects","Liu X, You L, Zhou R, Zhang J.","Oncotarget. 2017 Jan 24;8(4):5692-5702. doi: 10.18632/oncotarget.14249.","Liu X","Oncotarget","2017","2016/12/31","PMC5351582","","10.18632/oncotarget.14249"
"26936111","Integrated microRNA‑gene analysis of coronary artery disease based on miRNA and gene expression profiles","Xu X, Li H.","Mol Med Rep. 2016 Apr;13(4):3063-73. doi: 10.3892/mmr.2016.4936. Epub 2016 Feb 23.","Xu X","Mol Med Rep","2016","2016/03/04","PMC4805068","","10.3892/mmr.2016.4936"
"33953838","Therapeutic Value of miRNAs in Coronary Artery Disease","Ali Sheikh MS, Alduraywish A, Almaeen A, Alruwali M, Alruwaili R, Alomair BM, Salma U, Hedeab GM, Bugti N, A M Abdulhabeeb I.","Oxid Med Cell Longev. 2021 Apr 12;2021:8853748. doi: 10.1155/2021/8853748. eCollection 2021.","Ali Sheikh MS","Oxid Med Cell Longev","2021","2021/05/06","PMC8057887","","10.1155/2021/8853748"
"24676100","Coronary heart disease-associated variation in TCF21 disrupts a miR-224 binding site and miRNA-mediated regulation","Miller CL, Haas U, Diaz R, Leeper NJ, Kundu RK, Patlolla B, Assimes TL, Kaiser FJ, Perisic L, Hedin U, Maegdefessel L, Schunkert H, Erdmann J, Quertermous T, Sczakiel G.","PLoS Genet. 2014 Mar 27;10(3):e1004263. doi: 10.1371/journal.pgen.1004263. eCollection 2014 Mar.","Miller CL","PLoS Genet","2014","2014/03/29","PMC3967965","","10.1371/journal.pgen.1004263"
"30336307","Next generation MicroRNA sequencing to identify coronary artery disease patients at risk of recurrent myocardial infarction","Kanuri SH, Ipe J, Kassab K, Gao H, Liu Y, Skaar TC, Kreutz RP.","Atherosclerosis. 2018 Nov;278:232-239. doi: 10.1016/j.atherosclerosis.2018.09.021. Epub 2018 Oct 3.","Kanuri SH","Atherosclerosis","2018","2018/10/19","PMC6350783","NIHMS1007619","10.1016/j.atherosclerosis.2018.09.021"
"31489700","Circulating microRNA expression profiling and bioinformatics analysis of patients with coronary artery disease by RNA sequencing","Zhong Z, Zhong W, Zhang Q, Zhang Q, Yu Z, Wu H.","J Clin Lab Anal. 2020 Jan;34(1):e23020. doi: 10.1002/jcla.23020. Epub 2019 Sep 5.","Zhong Z","J Clin Lab Anal","2020","2019/09/07","PMC6977390","","10.1002/jcla.23020"
"34713722","Influence of GAS5/MicroRNA-223-3p/P2Y12 Axis on Clopidogrel Response in Coronary Artery Disease","Liu YL, Hu XL, Song PY, Li H, Li MP, Du YX, Li MY, Ma QL, Peng LM, Song MY, Chen XP.","J Am Heart Assoc. 2021 Nov 2;10(21):e021129. doi: 10.1161/JAHA.121.021129. Epub 2021 Oct 29.","Liu YL","J Am Heart Assoc","2021","2021/10/29","PMC8751826","","10.1161/JAHA.121.021129"
"36982889","Circulating miRNA-451a and miRNA-328-3p as Potential Markers of Coronary Artery Aneurysmal Disease","Iwańczyk S, Lehmann T, Cieślewicz A, Malesza K, Woźniak P, Hertel A, Krupka G, Jagodziński PP, Grygier M, Lesiak M, Araszkiewicz A.","Int J Mol Sci. 2023 Mar 18;24(6):5817. doi: 10.3390/ijms24065817.","Iwańczyk S","Int J Mol Sci","2023","2023/03/29","PMC10058788","","10.3390/ijms24065817"
"35628106","Profiling of Non-Coding Regulators and Their Targets in Epicardial Fat from Patients with Coronary Artery Disease","Flinn B, Adams C, Chowdhury N, Gress T, Santanam N.","Int J Mol Sci. 2022 May 10;23(10):5297. doi: 10.3390/ijms23105297.","Flinn B","Int J Mol Sci","2022","2022/05/28","PMC9141930","","10.3390/ijms23105297"
"37239987","Overexpression of microRNA-21-5p and microRNA-221-5p in Monocytes Increases the Risk of Developing Coronary Artery Disease","Torres-Paz YE, Gamboa R, Fuentevilla-Álvarez G, Soto ME, González-Moyotl N, Martínez-Alvarado R, Torres-Tamayo M, Ramírez-Marroquín ES, Vásquez-Jiménez X, Sainz-Escarrega V, Huesca-Gómez C.","Int J Mol Sci. 2023 May 12;24(10):8641. doi: 10.3390/ijms24108641.","Torres-Paz YE","Int J Mol Sci","2023","2023/05/27","PMC10218481","","10.3390/ijms24108641"
"24170031","MicroRNA associated with dyslipidemia and coronary disease in humans","Flowers E, Aouizerat BE.","Physiol Genomics. 2013 Dec 15;45(24):1199-205. doi: 10.1152/physiolgenomics.00106.2013. Epub 2013 Oct 29.","Flowers E","Physiol Genomics","2013","2013/10/31","PMC3882685","","10.1152/physiolgenomics.00106.2013"
"33026112","Inhibition of EZH2 attenuates coronary heart disease by interacting with microRNA-22 to regulate the TXNIP/nuclear factor-κB pathway","Liu Y, Dai C, Lei Y, Wu W, Liu W.","Exp Physiol. 2020 Dec;105(12):2038-2050. doi: 10.1113/EP088881. Epub 2020 Oct 25.","Liu Y","Exp Physiol","2020","2020/10/07","","","10.1113/EP088881"
"34530741","Identification of key miRNAs and mRNAs related to coronary artery disease by meta-analysis","Liu L, Zhang J, Wu M, Xu H.","BMC Cardiovasc Disord. 2021 Sep 16;21(1):443. doi: 10.1186/s12872-021-02211-2.","Liu L","BMC Cardiovasc Disord","2021","2021/09/17","PMC8447760","","10.1186/s12872-021-02211-2"
"31885748","Plasma miR-208b and miR-499: Potential Biomarkers for Severity of Coronary Artery Disease","Wang W, Li T, Gao L, Li Y, Sun Y, Yao HC.","Dis Markers. 2019 Nov 22;2019:9842427. doi: 10.1155/2019/9842427. eCollection 2019.","Wang W","Dis Markers","2019","2019/12/31","PMC6893238","","10.1155/2019/9842427"
"26276790","Impaired vascular function and repair in patients with premature coronary artery disease","Brittan M, Hunter A, Boulberdaa M, Fujisawa T, Skinner EM, Shah AS, Baker AH, Mills NL.","Eur J Prev Cardiol. 2015 Dec;22(12):1557-66. doi: 10.1177/2047487315600169. Epub 2015 Aug 14.","Brittan M","Eur J Prev Cardiol","2015","2015/08/16","","","10.1177/2047487315600169"
"37438691","Platelet miRNAs: differential expression in coronary artery disease and associations with course of left ventricular systolic function","Goldschmied A, Drotleff B, Winter S, Schaeffeler E, Schwab M, Gawaz M, Geisler T, Rath D.","BMC Cardiovasc Disord. 2023 Jul 12;23(1):348. doi: 10.1186/s12872-023-03362-0.","Goldschmied A","BMC Cardiovasc Disord","2023","2023/07/12","PMC10339596","","10.1186/s12872-023-03362-0"
"33660877","Long non-coding RNA MALAT1 and its target microRNA-125b associate with disease risk, severity, and major adverse cardiovascular event of coronary heart disease","Lv F, Liu L, Feng Q, Yang X.","J Clin Lab Anal. 2021 Apr;35(4):e23593. doi: 10.1002/jcla.23593. Epub 2021 Mar 4.","Lv F","J Clin Lab Anal","2021","2021/03/04","PMC8059753","","10.1002/jcla.23593"
"31438762","Down-regulation of microRNA-429 alleviates myocardial injury of rats with coronary heart disease","Yang Q, Li J, Zhang H, Zuo H, Zhang Q, Cheng J.","Cell Cycle. 2019 Oct;18(19):2550-2565. doi: 10.1080/15384101.2019.1652037. Epub 2019 Aug 23.","Yang Q","Cell Cycle","2019","2019/08/24","PMC6738912","","10.1080/15384101.2019.1652037"
"25938589","Plasma Levels of microRNA-145 Are Associated with Severity of Coronary Artery Disease","Gao H, Guddeti RR, Matsuzawa Y, Liu LP, Su LX, Guo D, Nie SP, Du J, Zhang M.","PLoS One. 2015 May 4;10(5):e0123477. doi: 10.1371/journal.pone.0123477. eCollection 2015.","Gao H","PLoS One","2015","2015/05/05","PMC4418743","","10.1371/journal.pone.0123477"
"33593717","Role of Plasma Soluble Lectin-Like Oxidized Low-Density Lipoprotein Receptor-1 and microRNA-98 in Severity and Risk of Coronary Artery Disease","Sheikh MSA.","Balkan Med J. 2021 Jan;38(1):13-22. doi: 10.5152/balkanmedj.2021.20243.","Sheikh MSA","Balkan Med J","2021","2021/02/17","PMC8909218","","10.5152/balkanmedj.2021.20243"
"29979444","Circulating microRNA expression profiling and bioinformatics analysis of dysregulated microRNAs of patients with coronary artery disease","Zhong Z, Hou J, Zhang Q, Zhong W, Li B, Li C, Liu Z, Yang M, Zhao P.","Medicine (Baltimore). 2018 Jul;97(27):e11428. doi: 10.1097/MD.0000000000011428.","Zhong Z","Medicine (Baltimore)","2018","2018/07/07","PMC6076134","","10.1097/MD.0000000000011428"
"33744854","microRNA-363-3p reduces endothelial cell inflammatory responses in coronary heart disease via inactivation of the NOX4-dependent p38 MAPK axis","Zhou T, Li S, Yang L, Xiang D.","Aging (Albany NY). 2021 Mar 19;13(8):11061-11082. doi: 10.18632/aging.202721. Epub 2021 Mar 19.","Zhou T","Aging (Albany NY)","2021","2021/03/21","PMC8109087","","10.18632/aging.202721"
"31323768","MicroRNAs in Cardiac Diseases","Colpaert RMW, Calore M.","Cells. 2019 Jul 18;8(7):737. doi: 10.3390/cells8070737.","Colpaert RMW","Cells","2019","2019/07/21","PMC6678080","","10.3390/cells8070737"
"31971908","Circulating miRNAs and Risk of Sudden Death in Patients With Coronary Heart Disease","Silverman MG, Yeri A, Moorthy MV, Camacho Garcia F, Chatterjee NA, Glinge CSA, Tfelt-Hansen J, Salvador AM, Pico AR, Shah R, Albert CM, Das S.","JACC Clin Electrophysiol. 2020 Jan;6(1):70-79. doi: 10.1016/j.jacep.2019.08.011. Epub 2019 Oct 30.","Silverman MG","JACC Clin Electrophysiol","2020","2020/01/24","PMC6981228","NIHMS1542995","10.1016/j.jacep.2019.08.011"
"34199767","Association between miR-146a and Tumor Necrosis Factor Alpha (TNF-α) in Stable Coronary Artery Disease","Pereira-da-Silva T, Napoleão P, Costa MC, Gabriel AF, Selas M, Silva F, Enguita FJ, Cruz Ferreira R, Mota Carmo M.","Medicina (Kaunas). 2021 Jun 4;57(6):575. doi: 10.3390/medicina57060575.","Pereira-da-Silva T","Medicina (Kaunas)","2021","2021/07/02","PMC8230353","","10.3390/medicina57060575"
"35156729","Downregulation of Talin-1 is associated with the increased expression of miR-182-5p and miR-9-5p in coronary artery disease","Gholipour A, Shakerian F, Zahedmehr A, Irani S, Mowla SJ, Malakootian M.","J Clin Lab Anal. 2022 Apr;36(4):e24252. doi: 10.1002/jcla.24252. Epub 2022 Feb 14.","Gholipour A","J Clin Lab Anal","2022","2022/02/14","PMC8993649","","10.1002/jcla.24252"
"32775466","The Role of MicroRNAs in Regulating Cytokines and Growth Factors in Coronary Artery Disease: The Ins and Outs","Gorabi AM, Kiaie N, Sathyapalan T, Al-Rasadi K, Jamialahmadi T, Sahebkar A.","J Immunol Res. 2020 Jul 25;2020:5193036. doi: 10.1155/2020/5193036. eCollection 2020.","Gorabi AM","J Immunol Res","2020","2020/08/11","PMC7397388","","10.1155/2020/5193036"
"31973111","Potential Clinical Implications of miR-1 and miR-21 in Heart Disease and Cardioprotection","Kura B, Kalocayova B, Devaux Y, Bartekova M.","Int J Mol Sci. 2020 Jan 21;21(3):700. doi: 10.3390/ijms21030700.","Kura B","Int J Mol Sci","2020","2020/01/25","PMC7037063","","10.3390/ijms21030700"
"26685009","miRNA 206 and miRNA 574-5p are highly expression in coronary artery disease","Zhou J, Shao G, Chen X, Yang X, Huang X, Peng P, Ba Y, Zhang L, Jehangir T, Bu S, Liu N, Lian J.","Biosci Rep. 2015 Dec 18;36(1):e00295. doi: 10.1042/BSR20150206.","Zhou J","Biosci Rep","2015","2015/12/20","PMC4748332","","10.1042/BSR20150206"
"32434208","Overexpression of microRNA-136-3p Alleviates Myocardial Injury in Coronary Artery Disease via the Rho A/ROCK Signaling Pathway","Lin Y, Dan H, Lu J.","Kidney Blood Press Res. 2020;45(3):477-496. doi: 10.1159/000505849. Epub 2020 May 20.","Lin Y","Kidney Blood Press Res","2020","2020/05/21","","","10.1159/000505849"
"36529725","miR194 hypomethylation regulates coronary artery disease pathogenesis","Duan L, Liu Y, Li J, Zhang Y, Liao J, Dong Y, Jie W.","BMC Med Genomics. 2022 Dec 18;15(1):264. doi: 10.1186/s12920-022-01421-7.","Duan L","BMC Med Genomics","2022","2022/12/18","PMC9759901","","10.1186/s12920-022-01421-7"
"22022480","Platelets in patients with premature coronary artery disease exhibit upregulation of miRNA340* and miRNA624*","Sondermeijer BM, Bakker A, Halliani A, de Ronde MW, Marquart AA, Tijsen AJ, Mulders TA, Kok MG, Battjes S, Maiwald S, Sivapalaratnam S, Trip MD, Moerland PD, Meijers JC, Creemers EE, Pinto-Sietsma SJ.","PLoS One. 2011;6(10):e25946. doi: 10.1371/journal.pone.0025946. Epub 2011 Oct 13.","Sondermeijer BM","PLoS One","2011","2011/10/25","PMC3192762","","10.1371/journal.pone.0025946"
"35109756","Serum miR-96-5p is a novel and non-invasive marker of acute myocardial infarction associated with coronary artery disease","Ding H, Chen W, Chen X.","Bioengineered. 2022 Feb;13(2):3930-3943. doi: 10.1080/21655979.2022.2031392.","Ding H","Bioengineered","2022","2022/02/03","PMC8973839","","10.1080/21655979.2022.2031392"
